Location,Cell Type,Installation Type
India (Mumbai),multi Si,"utility, 1-axis tracking"
India (Mumbai),single Si,"residential"
India (Mumbai),single Si,"utility, fixed tilt"
India (Mumbai),single Si,"utility, 1-axis tracking"
India (Mumbai),CdTe,"residential"
India (Mumbai),CdTe,"utility, fixed tilt"
India (Mumbai),CdTe,"utility, 1-axis tracking"
India (Mumbai),CIGS,"residential"
India (Mumbai),CIGS,"utility, fixed tilt"
India (Mumbai),CIGS,"utility, 1-axis tracking"
Germany (Berlin),multi Si,"residential"
Germany (Berlin),multi Si,"utility, fixed tilt"
Germany (Berlin),multi Si,"utility, 1-axis tracking"
Germany (Berlin),single Si,"residential"
Germany (Berlin),single Si,"utility, fixed tilt"
Germany (Berlin),single Si,"utility, 1-axis tracking"
Germany (Berlin),CdTe,"residential"
Germany (Berlin),CdTe,"utility, fixed tilt"
Germany (Berlin),CdTe,"utility, 1-axis tracking"
Germany (Berlin),CIGS,"residential"
Germany (Berlin),CIGS,"utility, fixed tilt"
Germany (Berlin),CIGS,"utility, 1-axis tracking"
Saudi Arabia (Riyadh),multi Si,"residential"
Saudi Arabia (Riyadh),multi Si,"utility, fixed tilt"
Saudi Arabia (Riyadh),multi Si,"utility, 1-axis tracking"
Saudi Arabia (Riyadh),single Si,"residential"
Saudi Arabia (Riyadh),single Si,"utility, fixed tilt"
Saudi Arabia (Riyadh),single Si,"utility, 1-axis tracking"
Saudi Arabia (Riyadh),CdTe,"residential"
Saudi Arabia (Riyadh),CdTe,"utility, fixed tilt"
Saudi Arabia (Riyadh),CdTe,"utility, 1-axis tracking"
Saudi Arabia (Riyadh),CIGS,"residential"
Saudi Arabia (Riyadh),CIGS,"utility, fixed tilt"
Saudi Arabia (Riyadh),CIGS,"utility, 1-axis tracking"
Russia (Moscow),multi Si,"residential"
Russia (Moscow),multi Si,"utility, fixed tilt"
Russia (Moscow),multi Si,"utility, 1-axis tracking"
Russia (Moscow),single Si,"residential"
Russia (Moscow),single Si,"utility, fixed tilt"
Russia (Moscow),single Si,"utility, 1-axis tracking"
Russia (Moscow),CdTe,"residential"
Russia (Moscow),CdTe,"utility, fixed tilt"
Russia (Moscow),CdTe,"utility, 1-axis tracking"
Russia (Moscow),CIGS,"residential"
Russia (Moscow),CIGS,"utility, fixed tilt"
Russia (Moscow),CIGS,"utility, 1-axis tracking"
Egypt (Cairo),multi Si,"residential"
Egypt (Cairo),multi Si,"utility, fixed tilt"
Egypt (Cairo),multi Si,"utility, 1-axis tracking"
Egypt (Cairo),single Si,"residential"
Egypt (Cairo),single Si,"utility, fixed tilt"
Egypt (Cairo),single Si,"utility, 1-axis tracking"
Egypt (Cairo),CdTe,"residential"
Egypt (Cairo),CdTe,"utility, fixed tilt"
Egypt (Cairo),CdTe,"utility, 1-axis tracking"
Egypt (Cairo),CIGS,"residential"
Egypt (Cairo),CIGS,"utility, fixed tilt"
Egypt (Cairo),CIGS,"utility, 1-axis tracking"
Singapore,multi Si,"residential"
Singapore,multi Si,"utility, fixed tilt"
Singapore,multi Si,"utility, 1-axis tracking"
Singapore,single Si,"residential"
Singapore,single Si,"utility, fixed tilt"
Singapore,single Si,"utility, 1-axis tracking"
Singapore,CdTe,"residential"
Singapore,CdTe,"utility, fixed tilt"
Singapore,CdTe,"utility, 1-axis tracking"
Singapore,CIGS,"residential"
Singapore,CIGS,"utility, fixed tilt"
Singapore,CIGS,"utility, 1-axis tracking"
Spain (Madrid),multi Si,"residential"
Spain (Madrid),multi Si,"utility, fixed tilt"
Spain (Madrid),multi Si,"utility, 1-axis tracking"
Spain (Madrid),single Si,"residential"
Spain (Madrid),single Si,"utility, fixed tilt"
Spain (Madrid),single Si,"utility, 1-axis tracking"
Spain (Madrid),CdTe,"residential"
Spain (Madrid),CdTe,"utility, fixed tilt"
Spain (Madrid),CdTe,"utility, 1-axis tracking"
Spain (Madrid),CIGS,"residential"
Spain (Madrid),CIGS,"utility, fixed tilt"
Spain (Madrid),CIGS,"utility, 1-axis tracking"
Colombia (Bogota),multi Si,"residential"
Colombia (Bogota),multi Si,"utility, fixed tilt"
Colombia (Bogota),multi Si,"utility, 1-axis tracking"
Colombia (Bogota),single Si,"residential"
Colombia (Bogota),single Si,"utility, fixed tilt"
Colombia (Bogota),single Si,"utility, 1-axis tracking"
Colombia (Bogota),CdTe,"residential"
Colombia (Bogota),CdTe,"utility, fixed tilt"
Colombia (Bogota),CdTe,"utility, 1-axis tracking"
Colombia (Bogota),CIGS,"residential"
Colombia (Bogota),CIGS,"utility, fixed tilt"
Colombia (Bogota),CIGS,"utility, 1-axis tracking"
Australia (Sydney),multi Si,"residential"
Australia (Sydney),multi Si,"utility, fixed tilt"
Australia (Sydney),multi Si,"utility, 1-axis tracking"
Australia (Sydney),single Si,"residential"
Australia (Sydney),single Si,"utility, fixed tilt"
Australia (Sydney),single Si,"utility, 1-axis tracking"
Australia (Sydney),CdTe,"residential"
Australia (Sydney),CdTe,"utility, fixed tilt"
Australia (Sydney),CdTe,"utility, 1-axis tracking"
Australia (Sydney),CIGS,"residential"
Australia (Sydney),CIGS,"utility, fixed tilt"
Australia (Sydney),CIGS,"utility, 1-axis tracking"
US SW (Tucson),multi Si,"residential"
US SW (Tucson),multi Si,"utility, fixed tilt"
US SW (Tucson),multi Si,"utility, 1-axis tracking"
US SW (Tucson),single Si,"residential"
US SW (Tucson),single Si,"utility, fixed tilt"
US SW (Tucson),single Si,"utility, 1-axis tracking"
US SW (Tucson),CdTe,"residential"
US SW (Tucson),CdTe,"utility, fixed tilt"
US SW (Tucson),CdTe,"utility, 1-axis tracking"
US SW (Tucson),CIGS,"residential"
US SW (Tucson),CIGS,"utility, fixed tilt"
US SW (Tucson),CIGS,"utility, 1-axis tracking"
